1,"Tablet TD 7""        ",TD Systems          ,"7"" QC IPS WBK1      ",2017-07-01,"Tablet 7"" TD                                                                                                                                                                                            "
2,"Tablet Samsung 10""  ",Samsung             ,"11""                 ",2017-01-01,
