805,857       ,NAPOLITANA CREMA              ,NAPOLITANA CREMA                                                                                    ,30,5,,,0.85,,,,,,,
806,856       ,CROISSANT                     ,CROISSANT                                                                                           ,30,5,,,0.85,,,,,,,
807,195       ,TARTA DE QUESO PORCION        ,TARTA DE QUESO PORCION                                                                              ,30,5,,,1.90,,,,,,,
808,919       ,CAFE MOKACCINO                ,CAFE MOKACCINO                                                                                      ,40,5,,,1.90,,,,,,,
809,918       ,CAFE BIB DE MILAN             ,CAFE BIB DE MILAN                                                                                   ,40,5,,,2.40,,,,,,,
810,917       ,CAFE MAKATON                  ,CAFE MAKATON                                                                                        ,40,5,,,2.80,,,,,,,
811,916       ,CAFE JAMAICANO                ,CAFE JAMAICANO                                                                                      ,40,5,,,2.80,,,,,,,
813,914       ,CAFE LIEJA                    ,CAFE LIEJA                                                                                          ,40,5,,,2.50,,,,,,,
814,850       ,CAFE AL CHOCOLATE             ,CAFE AL CHOCOLATE                                                                                   ,40,5,,,1.10,,,,,,,
815,849       ,CAFE JAVA                     ,CAFE JAVA                                                                                           ,40,5,,,1.80,,,,,,,
816,848       ,CAFE CREMA IRLANDESA          ,CAFE CREMA IRLANDESA                                                                                ,40,5,,,2.90,,,,,,,
817,847       ,CAFE BORGIA                   ,CAFE BORGIA                                                                                         ,40,5,,,1.70,,,,,,,
818,846       ,CAFE CAPRICHO                 ,CAFE CAPRICHO                                                                                       ,40,5,,,1.95,,,,,,,
819,845       ,CAFE CUBAFE                   ,CAFE CUBAFE                                                                                         ,40,5,,,2.90,,,,,,,
820,844       ,CAFE IRLANDES                 ,CAFE IRLANDES                                                                                       ,40,5,,,2.80,,,,,,,
821,843       ,CAFE COCTEL DE CAFE           ,CAFE COCTEL DE CAFE                                                                                 ,40,5,,,1.80,,,,,,,
822,842       ,CAFE ESCOCES                  ,CAFE ESCOCES                                                                                        ,40,5,,,2.80,,,,,,,
823,841       ,CAFE CAPUCCINO EN COPA        ,CAFE CAPUCCINO EN COPA                                                                              ,40,5,,,2.05,,,,,,,
824,821       ,CAFE ASIATICO                 ,CAFE ASIATICO                                                                                       ,40,5,,,1.90,,,,,,,
825,806       ,CAFE VIENES                   ,CAFE VIENES                                                                                         ,40,5,,,2.05,,,,,,,
826,923       ,RECUELO                       ,RECUELO                                                                                             ,50,5,,,0.50,,,,,,,
827,877       ,CHOCOLATE VIENES              ,CHOCOLATE VIENES                                                                                    ,50,5,,,1.90,,,,,,,
828,875       ,CHOCOLATE A LA TAZA           ,CHOCOLATE A LA TAZA                                                                                 ,50,5,,,1.60,,,,,,,
829,839       ,CAFE BELMONTE BAILEYS         ,CAFE BELMONTE BAILEYS                                                                               ,50,5,,,1.40,,,,,,,
830,8381      ,CAFE CARAJILLO BAILEYS        ,CAFE CARAJILLO BAILEYS                                                                              ,50,5,,,1.25,,,,,,,
831,838       ,CAFE CARAJILLO ANIS           ,CAFE CARAJILLO ANIS                                                                                 ,50,5,,,1.15,,,,,,,
832,837       ,CAFE CAPUCCINO NESCAFE        ,CAFE CAPUCCINO NESCAFE                                                                              ,50,5,,,1.25,,,,,,,
833,819       ,CAFE AMERICANO                ,CAFE AMERICANO                                                                                      ,50,5,,,1.00,,,,,,,
834,818       ,VASO DE LECHE                 ,VASO DE LECHE                                                                                       ,50,5,,,1.00,,,,,,,
835,817       ,COLA CAO CON LECHE            ,COLA CAO CON LECHE                                                                                  ,50,5,,,1.15,,,,,,,
836,809       ,CAFE BELMONTE                 ,CAFE BELMONTE                                                                                       ,50,5,,,1.25,,,,,,,
837,808       ,CAFE CARAJILLO                ,CAFE CARAJILLO                                                                                      ,50,5,,,1.20,,,,,,,
838,807       ,CAFE BOMBON                   ,CAFE BOMBON                                                                                         ,50,5,,,1.15,,,,,,,
839,805       ,CAFE CAPUCCINO EN TAZA        ,CAFE CAPUCCINO EN TAZA                                                                              ,50,5,,,1.95,,,,,,,
840,804       ,CAFE CON LECHE                ,CAFE CON LECHE                                                                                      ,50,5,,,1.10,,,,,,,
841,803       ,CAFE MANCHADO                 ,CAFE MANCHADO                                                                                       ,50,5,,,1.00,,,,,,,
842,802       ,CAFE CORTADO                  ,CAFE CORTADO                                                                                        ,50,5,,,1.00,,,,,,,
843,801       ,CAFE SOLO                     ,CAFE SOLO                                                                                           ,50,5,,,0.90,,,,,,,
844,366       ,"VINO (TINTO, BLANCO, ROSADO)  ","VINO (TINTO, BLANCO, ROSADO)                                                                        ",60,5,,,1.30,,,,,,,
846,357       ,CERVEZA AGUILA (BOTE)         ,CERVEZA AGUILA (BOTE)                                                                               ,60,5,,,1.30,,,,,,,
847,355       ,CERVEZA ESTRELLA 1/3          ,CERVEZA ESTRELLA 1/3                                                                                ,60,5,,,1.50,,,,,,,
848,354       ,CERVEZA ESTRELLA BOTE         ,CERVEZA ESTRELLA BOTE                                                                               ,60,5,,,1.30,,,,,,,
849,353       ,CERVEZA ESTRELLA 25CC         ,CERVEZA ESTRELLA 25CC                                                                               ,60,5,,,1.25,,,,,,,
850,352       ,CERVEZA HEINEKEN 25CC         ,CERVEZA HEINEKEN 25CC                                                                               ,60,5,,,1.50,,,,,,,
851,351       ,CERVEZA HEINEKEN 33CC         ,CERVEZA HEINEKEN 33CC                                                                               ,60,5,,,1.80,,,,,,,
852,350       ,CERVEZA MAHOU 25CC            ,CERVEZA MAHOU 25CC                                                                                  ,60,5,,,1.25,,,,,,,
853,774       ,COMBINADO BACARDI             ,COMBINADO BACARDI                                                                                   ,70,5,,,3.00,,,,,,,
854,773       ,COMBINADO BRUGAL/HAVANA       ,COMBINADO BRUGAL/HAVANA                                                                             ,70,5,,,3.00,,,,,,,
855,772       ,COMBINADO DYC                 ,COMBINADO DYC                                                                                       ,70,5,,,3.00,,,,,,,
856,771       ,COMBINADO JB/CUTTY/BALL.      ,COMBINADO JB/CUTTY/BALL.                                                                            ,70,5,,,3.00,,,,,,,
857,770       ,COMBINADO BOMBAY              ,COMBINADO BOMBAY                                                                                    ,70,5,,,3.50,,,,,,,
858,769       ,COMBINADO BEEFETER            ,COMBINADO BEEFETER                                                                                  ,70,5,,,3.00,,,,,,,
859,768       ,COMBINADO LARIOS              ,COMBINADO LARIOS                                                                                    ,70,5,,,3.00,,,,,,,
860,765       ,MARTINI ROJO/BLANCO           ,MARTINI ROJO/BLANCO                                                                                 ,70,5,,,2.00,,,,,,,
861,761       ,LICORES                       ,LICORES                                                                                             ,70,5,,,2.50,,,,,,,
862,760       ,COMBINADO                     ,COMBINADO                                                                                           ,70,5,,,3.00,,,,,,,
863,905       ,DESAYUNO COMPLETO BOLLERIA    ,DESAYUNO COMPLETO BOLLERIA                                                                          ,80,5,,,2.75,,,,,,,
864,903       ,DESAYUNO BOLLERIA             ,DESAYUNO BOLLERIA                                                                                   ,80,5,,,1.90,,,,,,,
865,902       ,DESAYUNO TOSTADA (1/2 TOSTADA),DESAYUNO TOSTADA (1/2 TOSTADA)                                                                      ,80,5,,,1.60,,,,,,,
866,900       ,CHOCOLATE CON MONA            ,CHOCOLATE CON MONA                                                                                  ,80,5,,,2.00,,,,,,,
867,911       ,TOSTADA LAXANTE               ,TOSTADA LAXANTE                                                                                     ,80,5,,,1.30,,,,,,,
868,910       ,TOSTADA LAXANTE (1/2)         ,TOSTADA LAXANTE (1/2)                                                                               ,80,5,,,0.65,,,,,,,
869,855       ,MEDIA TOSTADA                 ,MEDIA TOSTADA                                                                                       ,80,5,,,0.50,,,,,,,
870,854       ,TOSTADA WESTFALIA             ,TOSTADA WESTFALIA                                                                                   ,80,5,,,0.80,,,,,,,
871,853       ,TOSTADA INTEGRAL              ,TOSTADA INTEGRAL                                                                                    ,80,5,,,0.80,,,,,,,
872,852       ,TOSTADA CARRASCA              ,TOSTADA CARRASCA                                                                                    ,80,5,,,0.80,,,,,,,
873,851       ,TOSTADA NORMAL                ,TOSTADA NORMAL                                                                                      ,80,5,,,0.80,,,,,,,
874,652       ,BATIDO CON NATA               ,BATIDO CON NATA                                                                                     ,90,5,,,3.05,,,,,,,
875,651       ,BATIDO                        ,BATIDO                                                                                              ,90,5,,,2.65,,,,,,,
